Significant.UC_K	Ratio.UC.H	minus.log.pvalue	Number.of.samples.quantified.in	Quantified.in.over.70.pct.samples	Cluster	Protein.names	Gene.names	Protein.IDs	Majority.protein.IDs	Zscore.difference.UC-K	Gene.name	pvalue	adj_pvalue	logFC	stat	ENSG.ID	Gene.type	Chromosome	idx	top_2000	top_100	significance
NA	0.988704	0.178379	32	+	NA	Protein phosphatase 1 regulatory subunit 21	PPP1R21	Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3;Q6ZMI0-4;F8WE40;H7C1Y1;F8W7E1;F8WBY8	Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3	-0.0539263	PPP1R21	0.6631640879348858	0.7202330031242244	-0.016389425924605086	-0.005335708677975074	ENSG00000162869	protein_coding	2	3430	no	no	not_significant
NA	0.985363	0.13863	32	+	NA	Phenylalanine--tRNA ligase beta subunit	FARSB	Q9BR63;Q9NSD9;A8K666;B7ZB32;Q9NSD9-2	Q9BR63;Q9NSD9;A8K666;B7ZB32;Q9NSD9-2	-0.0367639	FARSB	0.7267248317034986	0.7767138540018034	-0.02127279486167616	-0.005337420827866941	ENSG00000116120	protein_coding	2	3431	no	no	not_significant
NA	0.991548	0.238043	32	+	NA	Solute carrier family 12 member 2	SLC12A2	Q53ZR1;P55011;P55011-3;B7ZM24;G3XAL9;Q59GB7;H0YMG9;Q8IUN5;H0YLJ2;B4DPF4;Q13621-3;Q13621	Q53ZR1;P55011;P55011-3;B7ZM24;G3XAL9	0.122487	SLC12A2	0.5780388122795567	0.6431435795496183	-0.012245481096089327	-0.0053649089667340295	ENSG00000064651	protein_coding	5	3432	no	no	not_significant
NA	0.990282	0.208452	32	+	NA	C2 domain-containing protein 5	KIAA0528;C2CD5	B7ZLK1;Q86YS7;Q86YS7-3;B7ZLK2;A0A024RB03;Q86YS7-2;Q86YS7-4;Q86YS7-5;H0YFC4;H0YFE9;H0YGU7	B7ZLK1;Q86YS7;Q86YS7-3;B7ZLK2;A0A024RB03;Q86YS7-2;Q86YS7-4;Q86YS7-5	-0.0405825	C2CD5	0.6187967157143689	0.6805333256229161	-0.014088678716677896	-0.005384894460079358	ENSG00000111731	protein_coding	12	3433	no	no	not_significant
NA	0.983294	0.122238	32	+	NA	N-acetylmuramoyl-L-alanine amidase	PGLYRP2	Q96PD5;Q96PD5-2;CON__ENSEMBL:ENSBTAP00000016285;M0R2W8	Q96PD5;Q96PD5-2	-0.047428	PGLYRP2	0.7546785389721166	0.7999724967986369	-0.02430525520249964	-0.005386754753792106	ENSG00000161031	protein_coding	19	3434	no	no	not_significant
NA	0.985378	0.141541	32	+	NA	H/ACA ribonucleoprotein complex subunit 3	NOP10	Q9NPE3;H0YM60	Q9NPE3	-0.0747426	NOP10	0.7218700108680579	0.7720588286420045	-0.02125083314715991	-0.0054604047701433825	ENSG00000182117	protein_coding	15	3435	no	no	not_significant
NA	0.984409	0.138025	32	+	NA	High mobility group protein B3	HMGB3;DKFZp779G118	O15347;E7ES08;E7EQU1;E9PES6;Q7Z684;Q16466	O15347;E7ES08;E7EQU1;E9PES6;Q7Z684	-0.042984	HMGB3	0.7277379113693951	0.7771250637037368	-0.022670247131910008	-0.005675049223631548	ENSG00000029993	protein_coding	X	3436	no	no	not_significant
NA	0.979911	0.108178	32	+	NA	Coatomer subunit gamma-2;Coatomer subunit gamma	COPG2	A0A140VK12;Q9UBF2;Q9H9B7;Q9UBF2-2;B3KND4;Q9NUP3;Q9H279;Q9NSM7;H3BS45;B2RBK6;F5H1S1;Q92521	A0A140VK12;Q9UBF2;Q9H9B7;Q9UBF2-2;B3KND4;Q9NUP3	-0.0356239	COPG2	0.7795105547309386	0.8212083936041098	-0.029277371873183744	-0.005721932935155881	ENSG00000158623	protein_coding	7	3437	no	no	not_significant
NA	0.991947	0.268981	32	+	NA	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	PHKA1	A6NIT2;A6NMN0;P46020-3;P46020-2;P46020	A6NIT2;A6NMN0;P46020-3;P46020-2;P46020	-0.19872	PHKA1	0.5382933318589834	0.6068926097020881	-0.011665055807314528	-0.005782948832801372	ENSG00000067177	protein_coding	X	3438	no	no	not_significant
NA	0.990394	0.227527	32	+	NA	Eukaryotic translation initiation factor 2D	EIF2D	P41214;Q5SY38;Q59FU5;A0A087X1L6;B4DGD2	P41214	-0.0477539	EIF2D	0.5922062683878532	0.656779692200589	-0.013925520436624234	-0.005811307966175908	ENSG00000143486	protein_coding	1	3439	no	no	not_significant
NA	0.99194	0.27242	32	+	NA	Vacuolar protein sorting-associated protein 4A	VPS4A	A0A024R705;Q9UN37;Q9NXK5;Q9UF30;Q49AN7	A0A024R705;Q9UN37	-0.0408014	VPS4A	0.5340476397247755	0.6027287704475118	-0.011675236694921771	-0.005866873557988424	ENSG00000132612	protein_coding	16	3440	no	no	not_significant
NA	0.992488	0.293777	32	+	NA	Pregnancy-specific beta-1-glycoprotein 1;Pregnancy-specific beta-1-glycoprotein 11;Pregnancy-specific beta-1-glycoprotein 2	PSG1;PSG5;PSG2;PSG4;PSG11	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2;M0R2U8;Q9UMI0;M0R2P9;Q16502;Q13830;M0QZA7;E9PC55;Q15229;M0R2Y7;A0A024R0L9;C9JWP2;M0R0B3;M0R276;Q8NBY8;M0R235;Q8NC17;G5E9F7;B5MCE1;A0A024R0S1;Q6P520;Q9UQ72-2;Q00888-2;Q15238;Q00888;Q00889-2;Q00889	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2	-0.320446	PSG1	0.508420437481881	0.5793388585568365	-0.0108784359014399	-0.005894634705837434	ENSG00000231924	protein_coding	19	3441	no	no	not_significant
NA	0.992488	0.293777	32	+	NA	Pregnancy-specific beta-1-glycoprotein 1;Pregnancy-specific beta-1-glycoprotein 11;Pregnancy-specific beta-1-glycoprotein 2	PSG1;PSG5;PSG2;PSG4;PSG11	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2;M0R2U8;Q9UMI0;M0R2P9;Q16502;Q13830;M0QZA7;E9PC55;Q15229;M0R2Y7;A0A024R0L9;C9JWP2;M0R0B3;M0R276;Q8NBY8;M0R235;Q8NC17;G5E9F7;B5MCE1;A0A024R0S1;Q6P520;Q9UQ72-2;Q00888-2;Q15238;Q00888;Q00889-2;Q00889	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2	-0.320446	PSG5	0.508420437481881	0.5793388585568365	-0.0108784359014399	-0.005894634705837434	ENSG00000204941	protein_coding	19	3442	no	no	not_significant
NA	0.992488	0.293777	32	+	NA	Pregnancy-specific beta-1-glycoprotein 1;Pregnancy-specific beta-1-glycoprotein 11;Pregnancy-specific beta-1-glycoprotein 2	PSG1;PSG5;PSG2;PSG4;PSG11	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2;M0R2U8;Q9UMI0;M0R2P9;Q16502;Q13830;M0QZA7;E9PC55;Q15229;M0R2Y7;A0A024R0L9;C9JWP2;M0R0B3;M0R276;Q8NBY8;M0R235;Q8NC17;G5E9F7;B5MCE1;A0A024R0S1;Q6P520;Q9UQ72-2;Q00888-2;Q15238;Q00888;Q00889-2;Q00889	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2	-0.320446	PSG2	0.508420437481881	0.5793388585568365	-0.0108784359014399	-0.005894634705837434	ENSG00000242221	protein_coding	19	3443	no	no	not_significant
NA	0.992488	0.293777	32	+	NA	Pregnancy-specific beta-1-glycoprotein 1;Pregnancy-specific beta-1-glycoprotein 11;Pregnancy-specific beta-1-glycoprotein 2	PSG1;PSG5;PSG2;PSG4;PSG11	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2;M0R2U8;Q9UMI0;M0R2P9;Q16502;Q13830;M0QZA7;E9PC55;Q15229;M0R2Y7;A0A024R0L9;C9JWP2;M0R0B3;M0R276;Q8NBY8;M0R235;Q8NC17;G5E9F7;B5MCE1;A0A024R0S1;Q6P520;Q9UQ72-2;Q00888-2;Q15238;Q00888;Q00889-2;Q00889	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2	-0.320446	PSG4	0.508420437481881	0.5793388585568365	-0.0108784359014399	-0.005894634705837434	ENSG00000243137	protein_coding	19	3444	no	no	not_significant
NA	0.992488	0.293777	32	+	NA	Pregnancy-specific beta-1-glycoprotein 1;Pregnancy-specific beta-1-glycoprotein 11;Pregnancy-specific beta-1-glycoprotein 2	PSG1;PSG5;PSG2;PSG4;PSG11	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2;M0R2U8;Q9UMI0;M0R2P9;Q16502;Q13830;M0QZA7;E9PC55;Q15229;M0R2Y7;A0A024R0L9;C9JWP2;M0R0B3;M0R276;Q8NBY8;M0R235;Q8NC17;G5E9F7;B5MCE1;A0A024R0S1;Q6P520;Q9UQ72-2;Q00888-2;Q15238;Q00888;Q00889-2;Q00889	O75238;P11464-4;M0QY44;M0QZQ1;Q9UPK9;Q9UPK8;A0A0F7CSH9;E7EQY3;O75237;A0A024R0M4;Q15228;Q96QL5;M0R1G9;Q9UQ72;P11465;P11464-3;P11464;P11464-2	-0.320446	PSG11	0.508420437481881	0.5793388585568365	-0.0108784359014399	-0.005894634705837434	ENSG00000243130	protein_coding	19	3445	no	no	not_significant
NA	0.972675	0.0838307	28	+	NA	Transmembrane protein 184C	TMEM184C	Q9NVA4;A0A0C4DGC8;Q9NVA4-2	Q9NVA4;A0A0C4DGC8;Q9NVA4-2	-0.075509	TMEM184C	0.8244594494712592	0.8610804316045038	-0.03997025721123338	-0.005924685159029822	ENSG00000164168	protein_coding	4	3446	no	no	not_significant
NA	0.972349	0.0831739	25	+	NA	Microtubule-associated protein 1A;MAP1A heavy chain;MAP1 light chain LC2	MAP1A	E9PGC8;P78559;P78559-2;A8K4T7;Q7Z5F9;Q504X9;Q9UL09	E9PGC8;P78559;P78559-2;A8K4T7;Q7Z5F9;Q504X9	-0.0983396	MAP1A	0.825707254047945	0.8620924631153962	-0.0404538693288564	-0.005954627853785709	ENSG00000166963	protein_coding	15	3447	no	no	not_significant
NA	0.984861	0.151426	32	+	NA	Ubiquitin-like protein 5	UBL5	B2R4N3;A0A024R7B0;Q9BZL1;K7EQ43	B2R4N3;A0A024R7B0;Q9BZL1	-0.043291	UBL5	0.7056250661780981	0.7584886857718336	-0.022007973121811637	-0.0060472487312429705	ENSG00000198258	protein_coding	19	3448	no	no	not_significant
NA	0.983996	0.144413	32	+	NA	U6 snRNA-associated Sm-like protein LSm7	LSM7	Q9UK45;O75243;A0A087X2I5	Q9UK45;O75243;A0A087X2I5	-0.0610319	LSM7	0.717112016587732	0.7685651144850146	-0.02327564394875453	-0.006084888738174127	ENSG00000130332	protein_coding	19	3449	no	no	not_significant
NA	0.991147	0.260209	31	+	NA	NEDD8-conjugating enzyme UBE2F	UBE2F;UBE2F-SCLY	F8WD80;C9J9P8;Q969M7-4;Q969M7-6;Q969M7;Q969M7-2;F8WDQ9;H3BSR4;C9JFD2;C9JSK8;H3BUI7;F8WB39;Q969M7-5;Q969M7-7;C9JF62;C9IZ93;Q969M7-3;F2Z363;F8WFB7;G5E9R6;F8WCT3	F8WD80;C9J9P8;Q969M7-4;Q969M7-6;Q969M7;Q969M7-2;F8WDQ9;H3BSR4;C9JFD2;C9JSK8;H3BUI7;F8WB39;Q969M7-5;Q969M7-7	-0.108817	UBE2F	0.5492764762756667	0.6171376688387942	-0.012829051155311338	-0.00614748937031364	ENSG00000184182	protein_coding	2	3450	no	no	not_significant
NA	0.991147	0.260209	31	+	NA	NEDD8-conjugating enzyme UBE2F	UBE2F;UBE2F-SCLY	F8WD80;C9J9P8;Q969M7-4;Q969M7-6;Q969M7;Q969M7-2;F8WDQ9;H3BSR4;C9JFD2;C9JSK8;H3BUI7;F8WB39;Q969M7-5;Q969M7-7;C9JF62;C9IZ93;Q969M7-3;F2Z363;F8WFB7;G5E9R6;F8WCT3	F8WD80;C9J9P8;Q969M7-4;Q969M7-6;Q969M7;Q969M7-2;F8WDQ9;H3BSR4;C9JFD2;C9JSK8;H3BUI7;F8WB39;Q969M7-5;Q969M7-7	-0.108817	UBE2F-SCLY	0.5492764762756667	0.6171376688387942	-0.012829051155311338	-0.00614748937031364	ENSG00000258984	protein_coding	2	3451	no	no	not_significant
NA	0.988714	0.209427	30	+	NA	PHD finger protein 3	PHF3	Q92576-2;Q92576;E7EVH3;E9PE34;E7ER40;B4DQ09;B0AZS7;A0A1B0GX99;B3KP41;A8K376;D6R9X2;D6RBF0	Q92576-2;Q92576;E7EVH3;E9PE34;E7ER40;B4DQ09	-0.0824856	PHF3	0.617409062661081	0.6798286276502347	-0.016374834219250987	-0.0062762456431882906	ENSG00000118482	protein_coding	6	3452	no	no	not_significant
NA	0.936059	0.0376844	32	+	NA	NA	ERLIN1	B2RDK6;B0QZ43	B2RDK6;B0QZ43	-0.09823	ERLIN1	0.9168865457353728	0.9351849577482343	-0.09532862883421524	-0.0063542595490620095	ENSG00000107566	protein_coding	10	3453	no	no	not_significant
NA	0.992327	0.317769	28	+	NA	Presenilin;Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12	PSEN1	E7ES96;Q53FV8;A0A0S2Z4D2;A0A218KGQ6;A0A218KGQ3;A0A218KGP1;A0A218KGP0;A0A218KGN7;A0A218KGN4;A0A218KGN3;A0A024R6A3;P49768-2;P49768;A0A218KGP3;P49768-3;P49768-5;P49768-6;P49768-7;G3V3Z0;E5RFW4;G3V499;G3V2G7;B7Z8T5;E5RG63;B4DVM3;A0A218KGQ4;B1AP22;P49768-4;P49810-3;P49810	E7ES96;Q53FV8;A0A0S2Z4D2;A0A218KGQ6;A0A218KGQ3;A0A218KGP1;A0A218KGP0;A0A218KGN7;A0A218KGN4;A0A218KGN3;A0A024R6A3;P49768-2;P49768;A0A218KGP3;P49768-3;P49768-5;P49768-6;P49768-7	-0.140932	PSEN1	0.48109517356218695	0.553814697190723	-0.011112486835247508	-0.006523786344808781	ENSG00000080815	protein_coding	14	3454	no	no	not_significant
NA	0.990768	0.26667	28	+	NA	E3 ubiquitin-protein ligase TRIM32	TRIM32	A0A024R843;Q13049;Q5JVY0	A0A024R843;Q13049	-0.0799928	TRIM32	0.5411653729327884	0.6092420655773464	-0.013380821970065708	-0.006583195157007577	ENSG00000119401	protein_coding	9	3455	no	no	not_significant
NA	0.983203	0.153537	32	+	NA	Isochorismatase domain-containing protein 2, mitochondrial	ISOC2	Q96AB3;K7ENV7;K7EKW4;Q96AB3-2;Q96AB3-3	Q96AB3;K7ENV7;K7EKW4;Q96AB3-2;Q96AB3-3	-0.0533779	ISOC2	0.7022035165033644	0.7553359794845722	-0.024438777144119215	-0.006817836196018821	ENSG00000063241	protein_coding	19	3456	no	no	not_significant
NA	0.978801	0.123762	32	+	NA	Myotubularin-related protein 10	MTMR10	X5D963;Q9NXD2;X5D300;X5DR33;A0A024R211;Q9NXD2-2;H3BUS9;X5D7X7;X5DRD0;X5D334;X5DP53;Q9NXD2-3;B4DLB6;Q0IJ45;H3BUZ0;Q0IJ46;B4E157	X5D963;Q9NXD2;X5D300;X5DR33;A0A024R211;Q9NXD2-2	-0.0747955	MTMR10	0.7520349077125624	0.7979725239009069	-0.030912519528188076	-0.006925094979659323	ENSG00000166912	protein_coding	15	3457	no	no	not_significant
NA	0.986394	0.192551	32	+	NA	GPI transamidase component PIG-S	PIGS	Q8NBL9;B2RBB2;Q96S52;Q96S52-2;Q96IR5;B4DLL0;Q9BVC1;A0A024QZ14;Q96NG1;B3KXD2;Q6MZW5;K7EN97	Q8NBL9;B2RBB2;Q96S52;Q96S52-2;Q96IR5;B4DLL0	-0.0406999	PIGS	0.6418728407735004	0.701049390205462	-0.019764070690580306	-0.006970203503380355	ENSG00000087111	protein_coding	17	3458	no	no	not_significant
NA	0.99062	0.278057	32	+	NA	UPF0554 protein C2orf43	LDAH;C2orf43	B5MCU4;B4DS38;A0A0A0MSH6;B5MDU6;Q9H6V9-4;Q9H6V9-3;Q9H6V9;Q9H6V9-2;B4DU46;C9JHU6;C9JUM0	B5MCU4;B4DS38;A0A0A0MSH6;B5MDU6;Q9H6V9-4;Q9H6V9-3;Q9H6V9;Q9H6V9-2;B4DU46	-0.0905713	LDAH	0.5271606684413087	0.5961890222459862	-0.01359634650786317	-0.006982037168122999	ENSG00000118961	protein_coding	2	3459	no	no	not_significant
NA	0.97737	0.117765	32	+	NA	Ras-related protein R-Ras	RRAS	A0A024QZF2;P10301	A0A024QZF2;P10301	-0.0620281	RRAS	0.7624914882784046	0.8069908203857015	-0.0330232725981147	-0.00702785982192889	ENSG00000126458	protein_coding	19	3460	no	no	not_significant
NA	0.957832	0.0636865	32	+	NA	Alpha-mannosidase;Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide	MAN2B1	A8K6A7;O00754;B4E0K9;O00754-2;Q93093;M0QZ24;M0R174;M0QYZ1;M0QZG6;M0R2P5	A8K6A7;O00754;B4E0K9;O00754-2	-0.137043	MAN2B1	0.8636017227252645	0.8914226428531189	-0.062155459824911066	-0.007052825006101646	ENSG00000104774	protein_coding	19	3461	yes	no	not_significant
NA	0.976146	0.11229	32	+	NA	Proteasome inhibitor PI31 subunit	PSMF1	Q5QPM7;A0A140VJT2;Q92530;B4DFK1;Q5QPM9;B4DUJ0;F5H4Z3;B4DXW9;H0Y555	Q5QPM7;A0A140VJT2;Q92530;B4DFK1;Q5QPM9;B4DUJ0	-0.0322763	PSMF1	0.7721648001113987	0.8148578709708001	-0.03483115025166739	-0.007069523391874693	ENSG00000125818	protein_coding	20	3462	no	no	not_significant
NA	0.972845	0.0998433	32	+	NA	Glypican-4;Secreted glypican-4	GPC4	O75487;O75487-2;Q86SV6	O75487;O75487-2;Q86SV6	-0.043441	GPC4	0.7946148920451072	0.8354128684812892	-0.039718131139463014	-0.007077177789619057	ENSG00000076716	protein_coding	X	3463	no	no	not_significant
NA	0.98631	0.194635	32	+	NA	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase isozyme L5	UCHL5	Q5LJA5;Q9Y5K5-2;Q9Y5K5-4;Q9Y5K5-3;Q9Y5K5;B2RB07;Q5LJA9;Q5LJB0;H0Y6Y4;B4DW59;B7Z9U9;H0Y4E0;H0Y636;H0Y4K0;B4DKB3	Q5LJA5;Q9Y5K5-2;Q9Y5K5-4;Q9Y5K5-3;Q9Y5K5;B2RB07;Q5LJA9;Q5LJB0;H0Y6Y4;B4DW59;B7Z9U9	-0.0477535	UCHL5	0.6388001361068203	0.6986805874928504	-0.019886933911324907	-0.007082260082939276	ENSG00000116750	protein_coding	1	3464	no	no	not_significant
NA	0.980032	0.135372	30	+	NA	Myotubularin-related protein 14	MTMR14	Q8NCE2-3;Q8NCE2-2;Q8NCE2;Q8WYY9;C9JSR1;B4DJ23;F8WEA3;C9JR61;F8WCC0;B4DQK9	Q8NCE2-3;Q8NCE2-2;Q8NCE2;Q8WYY9;C9JSR1	-0.112145	MTMR14	0.7321970925034288	0.7814820193374531	-0.029099238019118193	-0.007120962971433548	ENSG00000163719	protein_coding	3	3465	no	no	not_significant
NA	0.990354	0.278514	32	+	NA	Mitochondrial peptide methionine sulfoxide reductase	MSRA	Q9UJ68-5;Q9UJ68;Q9UJ68-3;E5RIA9;Q9UJ68-2;Q9UJ68-4;B7Z694;H0YAN3;E5RJK1;E9PJ70	Q9UJ68-5;Q9UJ68;Q9UJ68-3;E5RIA9;Q9UJ68-2;Q9UJ68-4;B7Z694	-0.0826109	MSRA	0.5266062388408213	0.5957799087068493	-0.013983789132736471	-0.007190848836331367	ENSG00000175806	protein_coding	8	3466	no	no	not_significant
NA	0.991342	0.318102	32	+	NA	Lysophospholipase-like protein 1	LYPLAL1	Q5VWZ2;Q5VWZ2-2;B3KVW3	Q5VWZ2;Q5VWZ2-2	-0.0750613	LYPLAL1	0.4807264300118492	0.5535963208926025	-0.012545240719157053	-0.007367865481593546	ENSG00000143353	protein_coding	1	3467	no	no	not_significant
NA	0.983336	0.168444	24	+	NA	Nucleus accumbens-associated protein 1	BTBD14B;NACC1	A0A024R7E0;Q96RE7;K7ENW4	A0A024R7E0;Q96RE7	-0.0997943	NACC1	0.6785096051195204	0.7341913207452518	-0.024243633858650995	-0.007438996255058204	ENSG00000160877	protein_coding	19	3468	no	no	not_significant
NA	0.986016	0.20088	32	+	NA	Ubiquitin-conjugating enzyme E2 E1	UBE2E1	A0A024R2K3;P51965;C9J2P0;P51965-3;H7C061;P51965-2;B7Z306;A0A087X283;C9J180	A0A024R2K3;P51965;C9J2P0;P51965-3;H7C061;P51965-2;B7Z306	-0.0615513	UBE2E1	0.6296801458762814	0.6895594159906011	-0.02031703760124522	-0.0075036826907117155	ENSG00000170142	protein_coding	3	3469	no	no	not_significant
NA	0.98452	0.182437	32	+	NA	Spliceosome-associated protein CWC15 homolog	CWC15;HSPC148	Q9P013;A0A024R3C8;A0A024R3B4	Q9P013;A0A024R3C8	-0.0672621	CWC15	0.6569964153435197	0.7145384861914045	-0.022507580880655353	-0.007504016400416836	ENSG00000150316	protein_coding	11	3470	no	no	not_significant
NA	0.981692	0.155435	32	+	NA	Polycomb protein EED	EED	O75530-3;O75530;O75530-2;B4DVW7;E9PJK2;B4DFK0;E9PMU3;H0YEL4	O75530-3;O75530;O75530-2;B4DVW7;E9PJK2	-0.0636642	EED	0.6991413680437797	0.7528330290263411	-0.02665763630604495	-0.007526751766385789	ENSG00000074266	protein_coding	11	3471	no	no	not_significant
NA	0.982694	0.165748	32	+	NA	Sorting nexin-33	SNX33	Q8WV41;H3BPR3	Q8WV41;H3BPR3	-0.0885749	SNX33	0.6827347370449777	0.7381174150150598	-0.025185847608361983	-0.007596849955498045	ENSG00000173548	protein_coding	15	3472	no	no	not_significant
NA	0.985881	0.203345	32	+	NA	Ataxin-2	ATXN2	H0YH87;Q2M2R5;V9GY86;Q99700-2;Q99700-4;Q99700;F8WB06;F8VQP2;Q99700-5;B3KT59;F8VVY6;F8VRK6;F8W0B5;F8WB05	H0YH87;Q2M2R5;V9GY86;Q99700-2;Q99700-4;Q99700;F8WB06;F8VQP2;Q99700-5;B3KT59	-0.0887784	ATXN2	0.626116285383339	0.6872387484576797	-0.02051457715916766	-0.007644727131679661	ENSG00000204842	protein_coding	12	3473	no	no	not_significant
NA	0.990844	0.313784	32	+	NA	Flotillin-1	FLOT1	Q5ST80;Q53HQ0;O75955;Q6IB58;O75955-2;A0A140T9R1;A2VCL5;A2AB10;A2AB12;A2AB13;A0A140T9W4;A0A0G2JJQ6;A0A140T9X0;A2AB09;A2AB11;A0A140T959;A0A140T9C3;A0A140T974;A0A140T9B1;A0A140T957;A0A140T910;A0A140T905;A2ABJ5;A0A140T907;A0A140T9L9	Q5ST80;Q53HQ0;O75955;Q6IB58;O75955-2;A0A140T9R1;A2VCL5;A2AB10;A2AB12	-0.0958016	FLOT1	0.4855299224961702	0.5577776408538578	-0.01327015971816042	-0.007694538032004546	ENSG00000137312	protein_coding	6	3474	no	no	not_significant
NA	0.97546600000000006	0.12126	32	+	NA	Probable tRNA pseudouridine synthase 1	TRUB1	Q8WWH5;B4DZ90;B3KWQ1	Q8WWH5;B4DZ90	-0.0535377	TRUB1	0.7563799358646028	0.8015658343147656	-0.03583650650844854	-0.007870481814015	ENSG00000165832	protein_coding	10	3475	no	no	not_significant
NA	0.991136	0.332526	32	+	NA	Diphthamide biosynthesis protein 2	DPH2	Q9BQC3;B3KRB8;Q9BQC3-3;Q9BQC3-2;E9PLL2;E9PMH7;H0YCR5;E9PJH6	Q9BQC3;B3KRB8;Q9BQC3-3;Q9BQC3-2	-0.0745562	DPH2	0.4650225357303243	0.5393520579548984	-0.012845062638484948	-0.007878679688885483	ENSG00000132768	protein_coding	1	3476	no	no	not_significant
NA	0.986154	0.215001	32	+	NA	CCR4-NOT transcription complex subunit 7	CNOT7	Q96IQ6;B3KM57;Q9UIV1-2;Q9UIV1;H0YAV9;H0YBT3;E5RGH2	Q96IQ6;B3KM57;Q9UIV1-2;Q9UIV1;H0YAV9;H0YBT3	-0.0626975	CNOT7	0.6095354937312119	0.6733418172979303	-0.020115136227664265	-0.007903083429346022	ENSG00000198791	protein_coding	8	3477	no	no	not_significant
NA	0.971754	0.106846	25	+	NA	Centrosomal protein of 41 kDa	CEP41	Q9BYV8-5;Q9BYV8-2;Q9BYV8;Q9BYV8-3	Q9BYV8-5;Q9BYV8-2;Q9BYV8;Q9BYV8-3	-0.172005	CEP41	0.7819050174727983	0.8234503794366118	-0.041336953791079704	-0.007965420670700314	ENSG00000106477	protein_coding	7	3478	no	no	not_significant
NA	0.976118	0.126308	23	+	NA	Non-structural maintenance of chromosomes element 4 homolog A	NSMCE4A	Q9NXX6-2;Q9NXX6;B4DWS2;A0A140VJI9;Q8N140	Q9NXX6-2;Q9NXX6;B4DWS2	-0.113546	NSMCE4A	0.7476390896428897	0.7942519318087514	-0.03487253344691919	-0.007977039227489383	ENSG00000107672	protein_coding	10	3479	no	no	not_significant
NA	0.983431	0.181163	32	+	NA	Long-chain fatty acid transport protein 3	SLC27A3	X6R3N0;Q5K4L6;Q5K4L6-2;H7BZH4;Q5K4L6-3;H0YDP0;H0YDM5	X6R3N0;Q5K4L6;Q5K4L6-2	-0.0489036	SLC27A3	0.6589265396166161	0.7162597505693714	-0.024104261956446882	-0.007981741104551321	ENSG00000143554	protein_coding	1	3480	no	no	not_significant
NA	0.980555	0.155281	32	+	NA	Lysine-specific demethylase PHF2	PHF2	O75151;A0A087WW48;Q6P2C5;B4DH04;E7ET14;Q8N359	O75151	-0.0785073	PHF2	0.6993893262076897	0.7529637174910085	-0.028329540449684054	-0.007993641857637453	ENSG00000197724	protein_coding	9	3481	no	no	not_significant
